,Remote Jobs,Overworked Population,Min Vacations Offered,Vacations Taken
Oslo,13.647740321814023,7.941487271532101,4.7204366937416795,5.282836486685819
Bern,14.674919243446238,8.083299544238033,3.7763493549933433,5.282836486685819
Helsinki,12.73178459551778,9.00507931682658,4.7204366937416795,6.339403784022983
Zurich,14.674919243446238,8.437830226002857,3.7763493549933433,5.282836486685819
Copenhagen,13.549602208282284,7.445144317061345,4.7204366937416795,5.916776865088118
Geneva,14.674919243446238,8.437830226002857,3.7763493549933433,5.282836486685819
Ottawa,12.368673575450341,7.161519771649484,1.8881746774966717,3.3810153514789243
Sydney,12.689258079654026,6.877895226237623,3.7763493549933433,2.958388432544059
Stuttgart,12.015376366736074,8.296017953296927,3.7763493549933433,5.494149946153252
Munich,12.015376366736074,8.437830226002857,3.7763493549933433,5.494149946153252
Stockholm,14.459015393676411,9.00507931682658,4.7204366937416795,5.282836486685819
Melbourne,12.689258079654026,6.877895226237623,3.7763493549933433,2.958388432544059
Amsterdam,13.592128724146036,6.097927726355006,3.7763493549933433,5.071523027218387
Tokyo,11.946679687263858,10.91954499835664,1.8881746774966717,5.388493216419536
Leipzig,12.015376366736074,8.863267044120649,3.7763493549933433,5.494149946153252
Vancouver,12.368673575450341,7.161519771649484,1.8881746774966717,3.3810153514789243
Auckland,11.858355385085291,7.232425908002449,3.7763493549933433,2.747074973076626
Hamburg,12.015376366736074,8.296017953296927,3.7763493549933433,5.494149946153252
Toronto,12.368673575450341,7.161519771649484,1.8881746774966717,3.3810153514789243
Frankfurt (am Main),12.015376366736074,8.225111816943961,3.7763493549933433,5.494149946153252
Dusseldorf,12.015376366736074,8.154205680590996,3.7763493549933433,5.494149946153252
Berlin,12.015376366736074,8.508736362355823,3.7763493549933433,5.494149946153252
Bremen,12.015376366736074,7.657862726120241,3.7763493549933433,5.494149946153252
Liverpool,14.23002646210235,9.075985453179545,5.286889096990681,4.437582648816089
Glasgow,14.23002646210235,8.579642498708788,5.286889096990681,4.437582648816089
Cologne,12.015376366736074,7.870581135179136,3.7763493549933433,5.494149946153252
London,14.23002646210235,9.785046816709198,5.286889096990681,4.437582648816089
Paris,12.345774682292936,9.785046816709198,4.7204366937416795,5.705463405620685
Graz,12.002291284931843,8.863267044120649,4.7204366937416795,5.282836486685819
Calgary,12.368673575450341,7.161519771649484,1.8881746774966717,3.3810153514789243
